;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Rapport d'inventaire;;;;;;;;;;;;;;Date : 2026-07-09;;
;;;;;;;;;;;;;;;;;;;;;;Page : 1/1;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
De;2026-06-01;;;À;;2026-07-09;;;;;Médicaments externes;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Nom;;Conc.;;;;;DIN;;;# Prod.;;Mfr;Qté Dist.;Qté Inv.;# Cont.;Coût;Total;;;No. d'identification;Code UPC;;Classe AHFS;
ACCEL SILDENAFIL;;50 MG;;;;;02479818;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02479818;627618001122;;Autres médicaments;
ACCEL SILDENAFIL;;25 MG;;;;;02479796;;;_;;ACCEL;0;0;Ext.;0.00;0.00;;;02479796;627618001115;;Autres médicaments;
ACCUPRIL;;40 MG;;;;;01947699;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;01947699;060093274597;;Autres médicaments;
ACCUPRIL;;20 MG;;;;;01947680;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;01947680;060093274566;;Autres médicaments;
ACCUPRIL;;10 MG;;;;;01947672;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;01947672;060093274535;;Autres médicaments;
ACCUPRIL;;5 MG;;;;;01947664;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;01947664;060093274504;;Autres médicaments;
ACCURETIC;;20-25 MG;;;;;02237369;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;02237369;621027274511;;Autres médicaments;
ACCURETIC;;20-12.5 MG;;;;;02237368;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;02237368;060093274801;;Autres médicaments;
ACCURETIC;;10-12.5 MG;;;;;02237367;;;_;;PFIZER;0;0;Ext.;0.00;0.00;;;02237367;060093274702;;Autres médicaments;
ACCUTANE;;40 MG;;;;;00582352;;;_;;ROCHE;0;0;Ext.;0.00;0.00;;;00582352;056090112055;;Autres médicaments;
ACCUTANE;;10 MG;;;;;00582344;;;_;;ROCHE;112;0;Ext.;0.99;0.00;;;00582344;056090111553;;Autres médicaments;
ACETAMIN.CAF&CODEINE;;300-15-8MG;;;;;02154234;;;_;;JAMPPHARMA;0;0;Ext.;0.00;0.00;;;02154234;622082283265;;Autres médicaments;
ACETAMINOPHEN F.A.A;;500MG X-FORT;;;;;02255251;;;_;;PHARMA P.;0;0;Ext.;0.00;0.00;;;02255251;664163001443;;Autres médicaments;
ACETAMINOPHENE A CROQUER;;80 MG;;;;;02017458;;;_;;RIVA;0;0;Ext.;0.00;0.00;;;02017458;775848600018;;Autres médicaments;
ACETAMINOPHENE A CROQUER;;160 MG;;;;;02017431;;;_;;RIVA;0;0;Ext.;0.00;0.00;;;02017431;775848601015;;Autres médicaments;
ACETAZOLAMIDE;;250 MG;;;;;00545015;;;_;;AA PHARMA;0;0;Ext.;0.14;0.00;;;00545015;660933000784;;Autres médicaments;
ACETAZONE FORTE C8;;_;;;;;00834319;;;_;;TEVA;0;0;Ext.;0.00;0.00;;;00834319;064589002398;;Autres médicaments;
ACH ALENDRONATE;;10 MG;;;;;02381486;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02381486;627968121020;;Autres médicaments;
ACH ALENDRONATE;;5 MG;;;;;02381478;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02381478;627968121013;;Autres médicaments;
ACH ALENDRONATE PLAQ;;70 MG;;;;;02381494;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02381494;627968121037;;Autres médicaments;
ACH APIXABAN;;2.5 MG;;;;;02487713;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02487713;999999999999;;Autres médicaments;
ACH APIXABAN PLAQ.;;5 MG;;;;;02487721;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02487721;627968200145;;Autres médicaments;
ACH ATORVASTATIN;;80 MG;;;;;02457784;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02457784;627968188153;;Autres médicaments;
ACH ATORVASTATIN;;40 MG;;;;;02457776;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02457776;627968187156;;Autres médicaments;
ACH ATORVASTATIN;;20 MG;;;;;02457768;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02457768;627968186159;;Autres médicaments;
ACH ATORVASTATIN;;10 MG;;;;;02457741;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02457741;627968185152;;Autres médicaments;
ACH CAPECITABINE;;500 MG;;;;;02426765;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02426765;627968142117;;Autres médicaments;
ACH CAPECITABINE;;150 MG;;;;;02426757;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02426757;627968141110;;Autres médicaments;
ACH DIMETHYL FUMARATE;;240 MG;;;;;02495368;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02495368;627968214159;;Autres médicaments;
ACH ESCITALOPRAM PLAQ;;20 MG;;;;;02434660;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02434660;627968148119;;Autres médicaments;
ACH ESCITALOPRAM PLAQ;;10 MG;;;;;02434652;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02434652;627968147112;;Autres médicaments;
ACH EZETIMIBE;;10 MG;;;;;02425610;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02425610;627968145132;;Autres médicaments;
ACH FINGOLIMOD;;0.5 MG;;;;;02475669;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02475669;627968174163;;Autres médicaments;
ACH FLUOXETINE;;10 MG;;;;;02393441;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02393441;627968122027;;Autres médicaments;
ACH FLUOXETINE;;20 MG;;;;;02383241;;;_;;ACCORD H.;0;0;Ext.;0.00;0.00;;;02383241;627968122010;;Autres médicaments;
